,person_age,person_education,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,male,female,rent,mortage,own,other_ownership,education,medical,venture,personal,debtconsolidation,homeimprovement
person_age,1.0,0.01144228895771925,0.20448269930857899,0.9600952263393207,0.050551841422591885,0.013991727749559734,-0.046271277329393005,0.8740349008507592,0.18353702838712302,-0.03675138412248045,0.012989333905767972,-0.012989333905768086,-0.041947170577655735,0.043402954324246915,-0.00033082576602827725,-0.0065500537600596195,-0.11570533292359939,0.03141330471112231,0.0053525422375083976,0.031375419248775474,0.004829965109171819,0.06687168099888645
person_education,0.01144228895771925,1.0,0.004933418609684113,0.005377802546083191,0.0022450497630983647,0.0074852085876917634,-0.0054556071966466715,0.007834062479937263,0.2551302801825964,-0.05101440741949885,-0.01006108743077303,0.010061087430772872,-0.005880995289611403,0.0035984647490558295,0.005594091230674036,-0.003131429643413954,-0.023037271619016936,0.013331890242174346,0.001287596300176301,0.0036823930597101396,0.0029617360725421077,0.004252076768181177
person_income,0.20448269930857899,0.004933418609684113,1.0,0.1999118720358384,0.22910484076784987,0.0023491981818658885,-0.2250338851001406,0.12668721895216756,0.030352102449101026,0.060267979601079366,0.004667274438044633,-0.004667274438044713,-0.21171158421062,0.23133002159776836,-0.03552561525577394,0.006367956709191132,-0.014081875890066068,-0.053713716902961055,0.017914488620517213,0.02229053834803533,0.0056359383122867365,0.03502038767714591
person_emp_exp,0.9600952263393207,0.005377802546083191,0.1999118720358384,1.0,0.042923384508594564,0.015635427804075567,-0.043593554227411783,0.837728154916485,0.18957436730174596,-0.041304958292086455,0.010490619946780274,-0.01049061994678034,-0.03955230921674756,0.039023023299900005,0.0031995783799962886,-0.0040687600362725625,-0.10351871384864811,0.03045869474433024,0.0044988396261683395,0.03149984715154391,0.0006448721593453339,0.05725826837198131
loan_amnt,0.050551841422591885,0.0022450497630983647,0.22910484076784987,0.042923384508594564,1.0,0.1504538879356443,0.5899821885208472,0.043507498066202445,0.008488502145325965,-0.05851150677349793,0.007354906419894457,-0.007354906419894498,-0.15539806403842396,0.16698871678266689,-0.022764723830185823,0.016666037966310596,-0.0067695401639145895,-0.04347307874743233,0.011126739765115074,0.010448335666195645,-0.005794965991852,0.04789245259031476
loan_int_rate,0.013991727749559734,0.0074852085876917634,0.0023491981818658885,0.015635427804075567,0.1504538879356443,1.0,0.13164604121803947,0.01781708201440963,0.011842795215857972,-0.20916950288183708,-0.0006158531165271939,0.0006158531165271836,0.15277704217941893,-0.14721078990273112,-0.019928738886752933,0.016868493898717456,-0.025231628419218124,0.028058285327343634,-0.01749943037611705,-0.008882382519286747,0.006935550221729519,0.021843167448446364
loan_percent_income,-0.046271277329393005,-0.0054556071966466715,-0.2250338851001406,-0.043593554227411783,0.5899821885208472,0.13164604121803947,1.0,-0.035375815489673765,-0.008652303300447533,-0.2076909415142296,-0.0017489515001736945,0.0017489515001737422,0.137446125505637,-0.16776187182095711,0.05576277884304111,0.01419197668827624,-0.007584515695242266,0.034184950948116195,0.0005053296106987392,-0.007860186046986087,-0.010339902388099268,-0.01411517686730732
cb_person_cred_hist_length,0.8740349008507592,0.007834062479937263,0.12668721895216756,0.837728154916485,0.043507498066202445,0.01781708201440963,-0.035375815489673765,1.0,0.15974057462156607,-0.0318034318586263,0.005576161803601785,-0.005576161803601909,-0.031107222573939244,0.03190261301341132,0.0010972998948943018,-0.00841463440347761,-0.09940814636926128,0.02538818700562672,0.007213254737831678,0.02987551460779739,0.003310231879432409,0.05373909262468235
credit_score,0.18353702838712302,0.2551302801825964,0.030352102449101026,0.18957436730174596,0.008488502145325965,0.011842795215857972,-0.008652303300447533,0.15974057462156607,1.0,-0.21103014171415713,0.0018504720588535452,-0.0018504720588535966,-0.004046746643349387,0.007394090553804064,-0.005547147007522199,-0.006105014142432543,-0.021108782914875137,0.008260753712888388,0.014671110170679184,0.006142388531790849,-0.011980361670054484,0.006367222248106852
previous_loan_defaults_on_file,-0.03675138412248045,-0.05101440741949885,0.060267979601079366,-0.041304958292086455,-0.05851150677349793,-0.20916950288183708,-0.2076909415142296,-0.0318034318586263,-0.21103014171415713,1.0,0.0037643359819631056,-0.0037643359819630987,-0.15280861738718401,0.12891643933624933,0.056298017218794696,-0.008558383541813867,0.05508137075945668,-0.05772383884406839,0.06559984568454752,0.005837968610460566,-0.05371217068032148,-0.024352515236354334
