param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,rank_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params
274,5,0.035344643747636566,0.9807456329793502,0.7302727421804681,10,0.7890222984562607,0.7998650016874789,0.7936398202557898,0.7949591280653951,0.7943989071038251,0.7943770311137499,0.0034546715652995744,548,0.8104697757694603,0.8103212576896788,0.8094178082191781,0.8076627041819893,0.808856214737562,0.8093455521195736,0.0010288371467724912,545,1.7925981521606444,0.06300836774039202,0.04104800224304199,0.0071261116018206195,"{'n_estimators': 274, 'max_depth': 5, 'learning_rate': np.float64(0.035344643747636566), 'subsample': np.float64(0.9807456329793502), 'colsample_bytree': np.float64(0.7302727421804681), 'min_child_weight': 10}"
587,5,0.04625908008548132,0.9099010106178466,0.7959029036426779,10,0.8065395095367848,0.8105403602401601,0.8054237288135593,0.8077566031427617,0.7985125084516566,0.8057545420369845,0.0040021235953095185,438,0.8491516882244247,0.8475517415446744,0.8473320989732368,0.8459920935318361,0.84790459393634,0.8475864432421023,0.001015781269020469,512,2.9803521633148193,0.11052784430999274,0.06924409866333008,0.012492775476398477,"{'n_estimators': 587, 'max_depth': 5, 'learning_rate': np.float64(0.04625908008548132), 'subsample': np.float64(0.9099010106178466), 'colsample_bytree': np.float64(0.7959029036426779), 'min_child_weight': 10}"
436,5,0.16453898367056088,0.7868847507357761,0.9906378765545018,9,0.8032021347565044,0.8103335513407456,0.8011968085106383,0.8078817733990148,0.7984058452341415,0.8042040226482088,0.004353457249576102,501,0.9037718793656011,0.9095081967213114,0.908614906324143,0.903861955628595,0.9060094972981824,0.9063532870675666,0.0023688379452009023,340,2.0457451343536377,0.05977871337324663,0.05980768203735352,0.013398036785057495,"{'n_estimators': 436, 'max_depth': 5, 'learning_rate': np.float64(0.16453898367056088), 'subsample': np.float64(0.7868847507357761), 'colsample_bytree': np.float64(0.9906378765545018), 'min_child_weight': 9}"
626,6,0.10692048777748797,0.7815294203054637,0.8622309605881475,9,0.8036072144288577,0.8107400130975769,0.800533689126084,0.8063137125945413,0.802653399668325,0.804769605783077,0.003515750311148746,484,0.9310624493106245,0.930905543814014,0.9325123551810743,0.9300625456908456,0.9321772951948789,0.9313440378382873,0.0008914117418971412,49,2.89675087928772,0.0367554275244932,0.08754205703735352,0.015028721014796145,"{'n_estimators': 626, 'max_depth': 6, 'learning_rate': np.float64(0.10692048777748797), 'subsample': np.float64(0.7815294203054637), 'colsample_bytree': np.float64(0.8622309605881475), 'min_child_weight': 9}"
249,6,0.15202240109242418,0.7627171946597794,0.7357107144454987,2,0.8014829794405123,0.8056840713813616,0.8094919786096256,0.8070175438596491,0.7993333333333333,0.8046019813248965,0.003698777071088603,492,0.9208997955010225,0.9242201535195166,0.9276588819269265,0.925012252899853,0.9246346043929126,0.9244851376480462,0.002158598547383487,58,1.2208882331848145,0.06142369547070839,0.044904470443725586,0.006085770427999368,"{'n_estimators': 249, 'max_depth': 6, 'learning_rate': np.float64(0.15202240109242418), 'subsample': np.float64(0.7627171946597794), 'colsample_bytree': np.float64(0.7357107144454987), 'min_child_weight': 2}"
346,7,0.06105450329101332,0.8902403754104223,0.8699881445863519,8,0.8113207547169812,0.8111147866357923,0.8051334008780817,0.810379241516966,0.8022941970310391,0.808048476155772,0.003664749001798386,289,0.875396163469558,0.8771345272802998,0.8768357810413885,0.8736112271322363,0.8759294845016292,0.8757814366850223,0.0012508124791822156,426,1.6905450344085693,0.062359177918372,0.062243080139160155,0.009218404909985657,"{'n_estimators': 346, 'max_depth': 7, 'learning_rate': np.float64(0.06105450329101332), 'subsample': np.float64(0.8902403754104223), 'colsample_bytree': np.float64(0.8699881445863519), 'min_child_weight': 8}"
305,7,0.0400304154261769,0.8154238961575607,0.7615313334821808,8,0.8005445881552076,0.8042895442359249,0.8012295081967213,0.8064516129032258,0.8004073319755601,0.8025845170933279,0.0023916120830692923,521,0.8469181542606938,0.8453276955602537,0.843279797125951,0.8440460081190798,0.8454200084423807,0.8449983327016717,0.0012515823406415083,516,1.6554154396057128,0.05555071387360188,0.057975149154663085,0.008903630967675063,"{'n_estimators': 305, 'max_depth': 7, 'learning_rate': np.float64(0.0400304154261769), 'subsample': np.float64(0.8154238961575607), 'colsample_bytree': np.float64(0.7615313334821808), 'min_child_weight': 8}"
572,3,0.08425917518135125,0.8787062584014742,0.7971259835204482,6,0.8081632653061225,0.806268756252084,0.8057162300102075,0.806970509383378,0.7955540586055911,0.8045345639114767,0.004564088902414814,494,0.8329688814129521,0.8353258124263344,0.8318896644521067,0.830261718421274,0.8351095074263657,0.8331111168278065,0.001925081280208185,527,1.9763817310333252,0.06702695607524829,0.05828847885131836,0.008921766138028104,"{'n_estimators': 572, 'max_depth': 3, 'learning_rate': np.float64(0.08425917518135125), 'subsample': np.float64(0.8787062584014742), 'colsample_bytree': np.float64(0.7971259835204482), 'min_child_weight': 6}"
559,7,0.19970702437252866,0.9277188666622199,0.9110021255964289,5,0.7996038296467481,0.797796500324044,0.8018494055482166,0.8066190785204412,0.8036951501154734,0.8019127928309846,0.0030856155112659726,525,0.9982007353516389,0.9985145805644594,0.9984357891443767,0.9974953036944271,0.9982004537986073,0.9981693725107018,0.00035957332114641244,1,2.7711687088012695,0.09401284202330626,0.09076890945434571,0.018108622768855658,"{'n_estimators': 559, 'max_depth': 7, 'learning_rate': np.float64(0.19970702437252866), 'subsample': np.float64(0.9277188666622199), 'colsample_bytree': np.float64(0.9110021255964289), 'min_child_weight': 5}"
279,2,0.10104937313261159,0.9271568179505945,0.7936676663707799,3,0.7834287638935669,0.7904793831713041,0.7892223738062756,0.7973199329983249,0.7911714770797963,0.7903243861898535,0.004437190560167598,550,0.7958564931783729,0.7975979023936395,0.7961821099755046,0.7947568710359408,0.7984810126582278,0.7965748778483371,0.0013157067332545092,551,0.9076937675476074,0.08004064751557805,0.02980351448059082,0.005806347016442443,"{'n_estimators': 279, 'max_depth': 2, 'learning_rate': np.float64(0.10104937313261159), 'subsample': np.float64(0.9271568179505945), 'colsample_bytree': np.float64(0.7936676663707799), 'min_child_weight': 3}"
689,5,0.016228793930772537,0.8721735995501632,0.8445989555748594,8,0.792504258943782,0.8048289738430584,0.796423658872077,0.8002717391304348,0.7952380952380952,0.7978533452054893,0.0042896219717959904,542,0.8169157608695652,0.8176410605030592,0.815910249872514,0.8164341612793468,0.8166072338257768,0.8167016932700524,0.0005718591329652475,540,3.1545990467071534,0.055540826286837354,0.08904471397399902,0.007355152178717078,"{'n_estimators': 689, 'max_depth': 5, 'learning_rate': np.float64(0.016228793930772537), 'subsample': np.float64(0.8721735995501632), 'colsample_bytree': np.float64(0.8445989555748594), 'min_child_weight': 8}"
