number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
0,0.795945741824697,2026-06-11 12:25:42.630666,2026-06-11 12:25:46.497206,0 days 00:00:03.866540,0.9741151802148209,2.79275183077642,0.1737629320180863,7,5,200,3.821704607220983e-06,1.5307144704904394,2.561772144788877,0.7681274787726232,COMPLETE
1,0.7896139329529419,2026-06-11 12:25:46.497206,2026-06-11 12:25:54.666674,0 days 00:00:08.169468,0.8695926425069617,2.365376651578851,0.1637428651290477,5,7,600,7.399179421582401e-08,7.9710495293016965,3.295410407102802,0.8779397160615099,COMPLETE
2,0.8032882886935229,2026-06-11 12:25:54.666674,2026-06-11 12:26:01.716381,0 days 00:00:07.049707,0.8238716721654958,2.630478334878098,0.13502589747860405,6,2,600,0.00038563165872442017,0.7258777933245443,1.3162211873674734,0.9893089472942266,COMPLETE
3,0.7979095759145602,2026-06-11 12:26:01.716381,2026-06-11 12:26:04.949140,0 days 00:00:03.232759,0.9686756020795921,1.9270986358588287,0.07549786279773783,3,4,200,4.334407683098325e-06,7.909328242697105,1.3040830990686705,0.7069754115577521,COMPLETE
4,0.7988649718985794,2026-06-11 12:26:04.949140,2026-06-11 12:26:09.412308,0 days 00:00:04.463168,0.9202248358691172,2.0694658890143085,0.06270527559116396,3,7,300,0.23315756324773107,7.066702994837797,1.3522803692646908,0.8154476784691715,COMPLETE
5,0.7875927092643616,2026-06-11 12:26:09.412308,2026-06-11 12:26:16.245082,0 days 00:00:06.832774,0.8043116591718791,0.022849997708400682,0.039053015451139865,7,2,300,7.756509260314616e-08,6.127402071061594,3.288610288906763,0.8358234543952736,COMPLETE
6,0.7995640288614929,2026-06-11 12:26:16.245082,2026-06-11 12:26:19.011211,0 days 00:00:02.766129,0.8821716209876638,1.2809126392177657,0.1494370309894656,2,5,200,0.011991532547178305,4.636318947876394,1.33296872383813,0.9301096619001942,COMPLETE
7,0.7915408368013105,2026-06-11 12:26:19.011211,2026-06-11 12:26:29.604154,0 days 00:00:10.592943,0.7835185310592019,1.9694101215657174,0.17798825656078468,4,5,700,1.4099262375862173e-05,6.719759874593933,3.24444181752024,0.7717126768549255,COMPLETE
8,0.7924582417906281,2026-06-11 12:26:29.604154,2026-06-11 12:26:34.791791,0 days 00:00:05.187637,0.7221077529146956,1.6435721338280938,0.037090767665922265,5,7,300,1.8660325493515157e-07,7.280131926815167,2.2916756425548113,0.9264245196668096,COMPLETE
9,0.7914152352986085,2026-06-11 12:26:34.798207,2026-06-11 12:26:47.405909,0 days 00:00:12.607702,0.9606258037495568,2.76265090669858,0.03501240390700014,7,1,700,2.6970942222376957,5.235415540756928,3.015855941008186,0.8105344497994493,COMPLETE
10,0.7958298665957436,2026-06-11 12:26:47.405909,2026-06-11 12:26:55.975989,0 days 00:00:08.570080,0.7048145659066275,3.8872759117115594,0.020609486279994055,5,3,500,0.0029854300157092263,0.5456308483762502,1.9641284093484817,0.9909907132998319,COMPLETE
11,0.7989160012329378,2026-06-11 12:26:55.976987,2026-06-11 12:27:02.372632,0 days 00:00:06.395645,0.858565932983456,0.8584058329439115,0.10895398019877889,2,1,500,0.00385547216384499,3.6573227641816866,1.0576450948491667,0.9689135570457573,COMPLETE
12,0.7922929806605052,2026-06-11 12:27:02.372632,2026-06-11 12:27:08.649950,0 days 00:00:06.277318,0.8527536578731905,3.640394348881342,0.1130036312937624,2,5,500,0.0017511447997497298,3.1752868295194547,1.6967283298755556,0.9303211248142366,COMPLETE
13,0.8094485730935146,2026-06-11 12:27:08.649950,2026-06-11 12:27:14.747319,0 days 00:00:06.097369,0.8052907427589453,1.2312584386212588,0.11459517213808099,6,3,400,0.00011961293355414116,4.015206707003546,1.7524826504198994,0.9398229220281346,COMPLETE
14,0.8045185224076347,2026-06-11 12:27:14.747319,2026-06-11 12:27:20.749030,0 days 00:00:06.001711,0.7817608742713303,0.7246754164815321,0.09472125115732224,6,3,400,5.8398843929661206e-05,2.323943801636994,2.0425878825992445,0.997453869615592,COMPLETE
15,0.8070944149333613,2026-06-11 12:27:20.749030,2026-06-11 12:27:28.332563,0 days 00:00:07.583533,0.7464421645805417,0.4110614927455179,0.07745406318724211,6,3,400,0.00010572285121606011,2.993870016956095,1.9380718429224728,0.8915761298757079,COMPLETE
16,0.8020189807219792,2026-06-11 12:27:28.332563,2026-06-11 12:27:36.067007,0 days 00:00:07.734444,0.7476061223576475,0.20344730331398125,0.0594538076335271,6,3,400,0.00019394772493065547,3.8603116664491792,2.5734870137684425,0.8809297713873804,COMPLETE
17,0.808527578857334,2026-06-11 12:27:36.068008,2026-06-11 12:27:43.463526,0 days 00:00:07.395518,0.7430376446184643,0.638182345286344,0.08080295879140456,6,4,400,0.06196210288546864,2.5409769372574793,1.7489037300692387,0.8910377963272277,COMPLETE
18,0.8037526388513442,2026-06-11 12:27:43.463526,2026-06-11 12:27:49.568025,0 days 00:00:06.104499,0.7638808747368473,1.2750170369535148,0.0505829438629007,4,4,400,0.06922238745570816,1.844456707710813,1.690234620461858,0.9532754185648602,COMPLETE
19,0.8081823121658079,2026-06-11 12:27:49.568025,2026-06-11 12:27:54.780861,0 days 00:00:05.212836,0.8214903774516789,0.8753807010247556,0.09314872701042301,5,6,300,2.7019842554578175,4.710486496404748,1.6240324606718266,0.9017404326187644,COMPLETE
20,0.8012853318970461,2026-06-11 12:27:54.780861,2026-06-11 12:28:05.998428,0 days 00:00:11.217567,0.7274995448367118,1.3161883250557358,0.024319706167871852,6,8,600,0.18383171269623996,2.6895157422721367,2.282452676246561,0.8501086085834824,COMPLETE
21,0.8056292518429007,2026-06-11 12:28:05.998428,2026-06-11 12:28:11.325259,0 days 00:00:05.326831,0.8234225219647865,0.7515750985528906,0.08505065334168661,5,6,300,2.8146345914342965,4.704897056795639,1.664471890145114,0.9059371247370248,COMPLETE
22,0.8078635764709059,2026-06-11 12:28:11.326268,2026-06-11 12:28:17.587027,0 days 00:00:06.260759,0.8161526745345513,1.0956286232196488,0.12284817884284482,4,4,400,0.7717846078638526,4.100387790186326,1.6675715966654474,0.8626843507514287,COMPLETE
23,0.8054744824406651,2026-06-11 12:28:17.587027,2026-06-11 12:28:22.798103,0 days 00:00:05.211076,0.7877986476207585,0.4519523391152263,0.09736782502700313,5,6,300,0.009953831922490617,5.435223432083237,1.0343260365459512,0.9087024280201461,COMPLETE
