feature,score,p_value,selected
previous_loan_defaults_on_file,14077.918049802214,0.0,True
loan_percent_income,6104.451606427584,0.0,True
loan_int_rate,4403.724315857957,0.0,True
rent,2521.509693838652,0.0,True
mortage,1818.8637789446357,0.0,True
person_income,583.8167864211096,5.812726019213873e-128,True
loan_amnt,413.3548629237968,2.2272499308394912e-91,True
venture,298.78147228610163,1.1292993891402528e-66,True
own,275.4713863258553,1.235533704402682e-61,True
debtconsolidation,262.561810314347,7.666704408063809e-59,True
medical,244.6823173188213,5.688761908931912e-55,True
education,188.31852652567918,9.486148447324324e-43,True
homeimprovement,33.35418994413407,7.74429615873629e-09,True
personal,19.3479986304312,1.0924563784233985e-05,True
person_age,13.728172476168325,0.00021157766493109799,True
person_emp_exp,11.441088245068078,0.000719141658574585,True
cb_person_cred_hist_length,8.197750477387956,0.004196657504176085,True
other_ownership,7.7993228035431885,0.005229339495587442,True
male,1.0272127729424654,0.3108210192850054,True
female,1.0272127729387077,0.3108210192858903,True
person_education,0.18650259846949735,0.6658461428583308,True
credit_score,5.8827738906499095e-05,0.9938803883137262,True
