feature,importance
previous_loan_defaults_on_file,0.7408533
rent,0.045117993
loan_percent_income,0.03292404
own,0.031238724
mortage,0.023116997
loan_int_rate,0.02062249
venture,0.01777198
person_income,0.012904288
debtconsolidation,0.01206329
medical,0.010471339
homeimprovement,0.00990427
education,0.0065387394
credit_score,0.0059685647
personal,0.0041162907
person_age,0.0040387446
loan_amnt,0.0036867282
female,0.0036038484
cb_person_cred_hist_length,0.0033182858
person_emp_exp,0.003299587
person_education,0.0029377274
other_ownership,0.0027667556
male,0.0027360618
