feature,importance
previous_loan_defaults_on_file,0.76861477
rent,0.034470577
own,0.031784672
mortage,0.021595143
loan_percent_income,0.017765943
venture,0.01596165
loan_int_rate,0.013955292
person_income,0.012550117
homeimprovement,0.0117882015
debtconsolidation,0.009270306
medical,0.009059337
loan_amnt,0.00713765
other_ownership,0.006131997
education,0.005935899
credit_score,0.0055610165
personal,0.0049029533
person_age,0.0044594444
cb_person_cred_hist_length,0.004270389
person_emp_exp,0.0041970788
person_education,0.0037680736
female,0.003410411
male,0.003409116
