case,test_row_position,true_label,predicted_label,predicted_probability,feature,feature_value,contribution_log_odds,bias_log_odds
true_positive,4,1,1,0.8118651509284973,loan_int_rate,1.753809334074668,2.418843984603882,-1.2826199531555176
true_positive,4,1,1,0.8118651509284973,previous_loan_defaults_on_file,0.0,1.3717656135559082,-1.2826199531555176
true_positive,4,1,1,0.8118651509284973,person_income,1.2620162678572693,-0.9606850743293762,-1.2826199531555176
true_positive,4,1,1,0.8118651509284973,debtconsolidation,1.0,0.9291535019874573,-1.2826199531555176
true_positive,4,1,1,0.8118651509284973,person_emp_exp,-0.4000057469014516,-0.30855634808540344,-1.2826199531555176
true_positive,4,1,1,0.8118651509284973,rent,0.0,-0.27384743094444275,-1.2826199531555176
true_positive,4,1,1,0.8118651509284973,loan_percent_income,-0.9182957562407288,-0.15628740191459656,-1.2826199531555176
true_positive,4,1,1,0.8118651509284973,medical,0.0,-0.13076284527778625,-1.2826199531555176
true_negative,0,0,0,0.0024189616087824106,previous_loan_defaults_on_file,1.0,-2.4148993492126465,-1.2826199531555176
true_negative,0,0,0,0.0024189616087824106,loan_int_rate,-1.9690653660260944,-1.359754204750061,-1.2826199531555176
true_negative,0,0,0,0.0024189616087824106,venture,1.0,-0.8724158406257629,-1.2826199531555176
true_negative,0,0,0,0.0024189616087824106,loan_amnt,0.705225473691893,0.1606629341840744,-1.2826199531555176
true_negative,0,0,0,0.0024189616087824106,credit_score,0.0309658260366087,0.1546896994113922,-1.2826199531555176
true_negative,0,0,0,0.0024189616087824106,rent,0.0,-0.14735844731330872,-1.2826199531555176
true_negative,0,0,0,0.0024189616087824106,person_age,-0.4585606570535047,0.14369958639144897,-1.2826199531555176
true_negative,0,0,0,0.0024189616087824106,loan_percent_income,0.2370040063816039,-0.13707385957241058,-1.2826199531555176
false_positive,22,0,1,0.5508002042770386,previous_loan_defaults_on_file,0.0,1.149963617324829,-1.2826199531555176
false_positive,22,0,1,0.5508002042770386,person_income,-0.5366219279865693,0.8499465584754944,-1.2826199531555176
false_positive,22,0,1,0.5508002042770386,loan_int_rate,-0.1375659866009324,-0.5817142128944397,-1.2826199531555176
false_positive,22,0,1,0.5508002042770386,loan_percent_income,0.5835939351683037,-0.31917640566825867,-1.2826199531555176
false_positive,22,0,1,0.5508002042770386,credit_score,-0.0427672799304564,0.20040759444236755,-1.2826199531555176
false_positive,22,0,1,0.5508002042770386,venture,0.0,0.1549561768770218,-1.2826199531555176
false_positive,22,0,1,0.5508002042770386,homeimprovement,0.0,-0.13866998255252838,-1.2826199531555176
false_positive,22,0,1,0.5508002042770386,rent,1.0,0.13697098195552826,-1.2826199531555176
false_negative,5,1,0,0.4958409368991852,previous_loan_defaults_on_file,0.0,1.2414937019348145,-1.2826199531555176
false_negative,5,1,0,0.4958409368991852,credit_score,-1.463161205052759,0.5271978378295898,-1.2826199531555176
false_negative,5,1,0,0.4958409368991852,loan_percent_income,-0.8027657799784954,-0.485760360956192,-1.2826199531555176
false_negative,5,1,0,0.4958409368991852,loan_int_rate,0.1688579480336623,-0.3371061384677887,-1.2826199531555176
false_negative,5,1,0,0.4958409368991852,debtconsolidation,1.0,0.32028478384017944,-1.2826199531555176
false_negative,5,1,0,0.4958409368991852,person_income,-0.1116308769724875,-0.20644602179527283,-1.2826199531555176
false_negative,5,1,0,0.4958409368991852,medical,0.0,-0.19230403006076813,-1.2826199531555176
false_negative,5,1,0,0.4958409368991852,rent,1.0,0.14105631411075592,-1.2826199531555176
